Time; AccX; AccY; AccZ; Temp; GyroX; GyroY; GyroZ;
16893; -732; -416; 15264; 24.29; 3048; 175; -156
16997; -592; -460; 15100; 24.39; 3050; 172; -133
17100; -604; -472; 15100; 24.34; 3036; 174; -158
17204; -556; -472; 15320; 24.25; 3034; 155; -165
17307; -588; -420; 15292; 24.25; 3015; 158; -175
17411; -652; -412; 15212; 24.39; 3043; 177; -190
17514; -720; -452; 15160; 24.39; 3043; 172; -184
17617; -692; -360; 15228; 24.34; 3064; 171; -146
17721; -680; -388; 15284; 24.34; 3040; 146; -140
17824; -624; -412; 15124; 24.39; 3047; 155; -160
17928; -640; -460; 15268; 24.29; 3061; 173; -177
18031; -648; -484; 15204; 24.34; 3045; 161; -154
18135; -628; -444; 15188; 24.34; 3037; 192; -140
18238; -512; -460; 15304; 24.29; 3030; 163; -142
18341; -744; -428; 15196; 24.34; 3017; 150; -174
18446; -672; -428; 15192; 24.25; 3052; 176; -164
18549; -636; -460; 15268; 24.39; 3015; 156; -163
18653; -700; -500; 15236; 24.39; 3060; 170; -169
18756; -636; -396; 15048; 24.34; 3054; 157; -163
18860; -656; -500; 15180; 24.25; 3071; 170; -148
18963; -692; -508; 15356; 24.29; 3043; 173; -165
19066; -716; -484; 15168; 24.34; 3064; 158; -150
19170; -640; -380; 15352; 24.34; 3038; 155; -157
19273; -656; -440; 15152; 24.39; 3054; 175; -159
19377; -652; -404; 15108; 24.39; 3039; 162; -147
19480; -640; -380; 15284; 24.25; 3046; 181; -184
19584; -664; -380; 15216; 24.25; 3046; 197; -139
19687; -568; -452; 15200; 24.29; 3048; 151; -155
19790; -656; -436; 15312; 24.34; 3043; 133; -146
19894; -660; -440; 15256; 24.34; 3055; 167; -167
19997; -680; -484; 15176; 24.39; 3045; 149; -159
20101; -652; -508; 15380; 24.34; 3060; 170; -157
20204; -676; -364; 15256; 24.34; 3015; 147; -162
20308; -616; -476; 15268; 24.34; 3046; 165; -171
20412; -684; -488; 15164; 24.29; 3050; 180; -187
20515; -680; -416; 15268; 24.25; 3029; 166; -178
20619; -632; -416; 15220; 24.34; 3033; 177; -144
20722; -612; -332; 15124; 24.29; 3089; 196; -136
20826; -572; -440; 15256; 24.39; 3130; 229; -158
20929; -688; -324; 15236; 24.25; 3218; 340; -127
21032; -736; -344; 15172; 24.25; 3411; 512; 263
21136; -708; -128; 15356; 24.29; 4257; -26; -326
21239; -832; -44; 15148; 24.29; 3383; 126; -138
21343; -776; -44; 15236; 24.39; 3742; 155; -7
21446; -716; 280; 15192; 24.29; 4386; 198; -83
21550; -644; 684; 15116; 24.29; 4521; 159; -191
21653; -820; 996; 15272; 24.34; 5021; 230; -45
21756; -760; 1500; 15148; 24.25; 5906; 198; 14
21860; -736; 2136; 15004; 24.25; 5966; 198; 208
21963; -744; 2864; 15092; 24.29; 6277; 212; 168
22067; -748; 3652; 14864; 24.34; 7039; 226; 157
22170; -648; 4484; 14648; 24.25; 7733; 202; 204
22274; -808; 5496; 14172; 24.34; 7684; 230; 298
22377; -792; 6524; 13748; 24.34; 7162; 256; 149
22481; -644; 7156; 13452; 24.39; 6221; 242; 233
22585; -716; 7884; 13220; 24.25; 6896; 210; 226
22688; -672; 8664; 12524; 24.25; 7212; 213; 266
22792; -524; 9532; 11992; 24.34; 7679; 160; 240
22895; -496; 10344; 11228; 24.34; 6798; 536; 514
22999; -408; 11052; 10808; 24.48; 6563; 283; 265
23102; -428; 11540; 10288; 24.34; 5740; 338; 138
23205; -424; 12080; 9812; 24.29; 7234; 260; 255
23309; -280; 12708; 9132; 24.34; 6664; 394; 274
23413; -288; 13132; 8424; 24.29; 6864; 336; 236
23517; -360; 13576; 7676; 24.34; 7669; 367; 460
23620; -104; 14312; 6688; 24.39; 5909; 536; 361
23724; -64; 14508; 6288; 24.39; 6494; 488; 340
23827; 24; 14960; 5532; 24.34; 6940; 336; 117
23930; 100; 15260; 4708; 24.25; 6480; 234; 45
24034; 88; 15500; 3956; 24.34; 6994; 102; 147
24137; 60; 15860; 2852; 24.39; 7270; 137; 193
24241; 116; 15840; 2504; 24.39; 6966; 34; 104
24344; 308; 16212; 1388; 24.44; 6121; 72; 91
24448; 228; 16200; 932; 24.44; 5772; 97; 54
24551; 172; 16224; -32; 24.39; 6375; -1247; -79
24654; 448; 16436; -532; 24.34; 4707; -152; -82
24758; 356; 16364; -912; 24.34; 4787; 182; -7
